Daily temperatures (deg C) Dec 2015 for Orlando from usclimatedata.com,,
Date,High,Low
1,27.2,17.8
2,28.9,19.4
3,22.8,16.7
4,26.1,16.7
5,27.8,19.4
6,26.7,17.8
7,23.3,15.6
8,25.0,13.9
9,25.6,16.7
10,26.7,16.1
11,26.7,14.4
12,28.3,16.7
13,27.8,17.2
14,28.9,20.6
15,27.8,20.6
16,29.4,19.4
17,30.0,21.7
18,24.4,13.9
19,19.4,8.9
20,23.3,11.1
21,27.2,13.9
22,28.9,20.6
23,26.7,22.8
24,28.9,20.6
25,30.0,21.1
26,30.0,20.0
27,28.3,19.4
28,30.0,20.6
29,30.0,21.1
30,30.0,20.0
31,28.9,22.2